time,CH1
0.0,-10
0.06742191314697266,57
0.10140490531921387,142
0.12696003913879395,127
0.15257906913757324,30
0.17821097373962402,106
0.20387005805969238,19
0.22955989837646484,1
0.2552149295806885,98
0.28092503547668457,-3
0.3064918518066406,196
0.3320939540863037,54
0.3576929569244385,101
0.38327884674072266,129
0.4114699363708496,94
0.4371769428253174,47
0.4626789093017578,51
0.4885580539703369,194
0.5144948959350586,35
0.5406448841094971,24
0.566241979598999,124
0.5923519134521484,56
0.6180639266967773,128
0.6437098979949951,114
0.6694400310516357,96
0.6950900554656982,92
0.720707893371582,27
0.7463319301605225,186
0.7720060348510742,130
0.7976360321044922,184
0.823296070098877,8
0.8491969108581543,-27
0.8747880458831787,-18
0.9003939628601074,-27
0.926002025604248,-33
0.951617956161499,93
0.9772038459777832,-36
1.0031628608703613,174
1.0289230346679688,40
1.0546798706054688,73
1.080306053161621,96
1.1059188842773438,101
1.131626844406128,190
1.1572818756103516,70
1.182919979095459,14
1.2086999416351318,-5
1.234360933303833,61
1.259932041168213,-32
1.2856919765472412,83
1.311326026916504,100
1.3370628356933594,51
1.3628039360046387,77
1.388411045074463,17
1.4140839576721191,218
1.4397099018096924,109
1.4652769565582275,-6
1.491222858428955,93
1.5171258449554443,198
1.5427160263061523,72
1.5683698654174805,126
1.59419584274292,13
1.6198248863220215,90
1.6453959941864014,121
1.6710169315338135,-31
1.6967730522155762,21
1.7223708629608154,97
1.747938871383667,184
1.773555040359497,131
1.799191951751709,121
1.824779987335205,55
1.8506770133972168,156
1.8764748573303223,73
1.902101993560791,74
1.9300079345703125,167
1.9556028842926025,49
1.9811809062957764,150
2.006844997406006,155
2.032489061355591,93
2.0583338737487793,-3
2.0839600563049316,83
2.1094970703125,76
2.135127067565918,-10
2.1607279777526855,68
2.1864500045776367,75
2.212005853652954,86
2.237799882888794,11
2.263413906097412,186
2.289029836654663,110
2.3145408630371094,81
2.340146064758301,-29
2.365790843963623,58
2.3914148807525635,49
2.4170868396759033,127
2.4426958560943604,34
2.46842098236084,62
2.4943549633026123,107
2.5406699180603027,63
2.589513063430786,142
2.6151368618011475,-25
2.6407270431518555,140
2.666350841522217,55
2.691969871520996,113
2.717643976211548,132
2.7432589530944824,142
2.7690670490264893,55
2.7947700023651123,23
2.8203959465026855,164
2.846242904663086,-17
2.8719069957733154,74
2.897624969482422,21
2.9233999252319336,0
2.949004888534546,59
2.9746339321136475,83
3.000200033187866,39
3.025805950164795,89
3.051651954650879,95
3.077286958694458,66
3.1032090187072754,186
3.1287689208984375,9
3.1543848514556885,176
3.180280923843384,13
3.206044912338257,220
3.231679916381836,13
3.2574899196624756,39
3.2831039428710938,-7
3.308706045150757,216
3.3342978954315186,76
3.359966993331909,102
3.385645866394043,76
3.414011001586914,118
3.439621925354004,-6
3.4652340412139893,80
3.4911320209503174,52
3.5168700218200684,185
3.542618989944458,80
3.568284034729004,52
3.593958854675293,94
3.6195318698883057,-26
3.6451659202575684,82
3.671097993850708,154
3.696943998336792,99
3.7226040363311768,90
3.7481510639190674,20
3.7738490104675293,83
3.7994349002838135,51
3.8252880573272705,71
3.8511979579925537,23
3.8769099712371826,4
3.9025590419769287,38
3.9283008575439453,67
3.953939914703369,175
3.9795479774475098,66
4.0054709911346436,61
4.0310869216918945,93
4.056875944137573,57
4.082489967346191,-37
4.108108043670654,55
4.133800029754639,67
4.15948486328125,-15
4.185260057449341,116
4.210952043533325,182
4.236584901809692,69
4.262228965759277,59
4.287884950637817,177
4.313684940338135,64
4.339583873748779,184
4.365200042724609,35
4.391021966934204,188
4.416677951812744,83
4.442432880401611,15
4.468095064163208,113
4.494091033935547,169
4.520190954208374,-24
4.54639196395874,101
4.572027921676636,69
4.598320960998535,186
4.623955965042114,125
4.649669885635376,10
4.675446033477783,68
4.701050043106079,-26
4.726670980453491,84
4.752336025238037,102
4.777976036071777,178
4.803822994232178,178
4.829632997512817,9
4.855636835098267,100
4.881286859512329,168
4.9069859981536865,50
4.935265064239502,90
4.960850954055786,69
4.986418008804321,75
5.012063026428223,-25
5.037683963775635,3
5.063565015792847,82
5.089187860488892,81
5.114955902099609,26
5.140539884567261,-9
5.166154861450195,76
5.191840887069702,84
5.217450857162476,156
5.243105888366699,55
5.268754005432129,17
5.294541835784912,33
5.320124864578247,81
5.345777988433838,76
5.371432065963745,90
5.397032022476196,47
5.422651052474976,28
5.448379993438721,5
5.4741740226745605,13
5.500118017196655,170
5.5258259773254395,62
5.551440000534058,87
5.577085971832275,156
5.60289192199707,43
5.628614902496338,56
5.654217004776001,89
5.679934978485107,93
5.705535888671875,149
5.73120903968811,44
5.756927967071533,90
5.7825798988342285,164
5.808335065841675,-31
5.83394193649292,50
5.859761953353882,4
5.885376930236816,-37
5.911182880401611,91
5.93681001663208,90
5.96255898475647,17
5.988148927688599,70
6.013772964477539,0
6.039428949356079,-15
6.065237045288086,83
6.090865850448608,93
6.123060941696167,84
6.1486430168151855,37
6.1742658615112305,55
6.199904918670654,88
6.22549295425415,97
6.251210927963257,1
6.276980876922607,27
6.302602052688599,7
6.328237056732178,33
6.353900909423828,216
6.3795249462127686,106
6.405513048171997,187
6.4336700439453125,-16
6.459338903427124,82
6.485183954238892,15
6.510856866836548,44
6.53721284866333,204
6.562896966934204,28
6.588554859161377,27
6.61492395401001,225
6.640552997589111,92
