time,CH1
0.0,130
0.05666303634643555,202
0.08257102966308594,-5
0.10819602012634277,178
0.1337580680847168,204
0.1593470573425293,53
0.18494296073913574,139
0.2105560302734375,78
0.23622703552246094,86
0.261883020401001,66
0.2876009941101074,83
0.31311607360839844,-27
0.3387119770050049,-26
0.3642699718475342,23
0.38985586166381836,54
0.41540098190307617,168
0.44099903106689453,208
0.4665720462799072,182
0.49220991134643555,86
0.5179409980773926,17
0.5456709861755371,34
0.5712978839874268,80
0.5969219207763672,58
0.6224930286407471,29
0.6480929851531982,100
0.6737880706787109,57
0.6994140148162842,10
0.725471019744873,182
0.7623419761657715,71
0.8185389041900635,188
0.8449490070343018,94
0.8705990314483643,35
0.896449089050293,27
0.9220969676971436,12
0.9479990005493164,5
0.973646879196167,144
0.9992809295654297,12
1.0250799655914307,-40
1.0507838726043701,68
1.0764060020446777,41
1.1021459102630615,112
1.1277809143066406,-9
1.1539950370788574,25
1.1796438694000244,194
1.2052960395812988,-9
1.2310380935668945,91
1.2566859722137451,-5
1.2823460102081299,70
1.3079900741577148,133
1.3336329460144043,26
1.3592028617858887,212
1.3848330974578857,81
1.4105889797210693,102
1.4363110065460205,88
1.4619128704071045,83
1.4875879287719727,95
1.5131518840789795,72
1.538848876953125,74
1.5645570755004883,59
1.5903029441833496,101
1.615921974182129,34
1.6415269374847412,67
1.667160987854004,212
1.6927220821380615,-14
1.7187800407409668,224
1.7443499565124512,54
1.7702720165252686,143
1.7963778972625732,29
1.823396921157837,167
1.8489930629730225,68
1.8747279644012451,185
1.90043306350708,162
1.926016092300415,146
1.9518818855285645,74
1.9775030612945557,87
2.003098964691162,67
2.0287210941314697,-35
2.0566909313201904,101
2.0824549198150635,28
2.108085870742798,214
2.1337380409240723,107
2.1594128608703613,-5
2.1849958896636963,1
2.2106289863586426,1
2.23630690574646,72
2.2619268894195557,-39
2.2876720428466797,107
2.313307046890259,20
2.3388869762420654,-17
2.364542007446289,65
2.3900859355926514,206
2.41579008102417,16
2.44146990776062,-10
2.467283010482788,-13
2.4928760528564453,-24
2.5185070037841797,60
2.5440969467163086,216
2.569675922393799,188
2.5952470302581787,95
2.620913028717041,-13
2.6466078758239746,7
2.672334909439087,66
2.6979329586029053,99
2.7238409519195557,48
2.749729871749878,17
2.7759130001068115,84
2.8016300201416016,52
2.8272528648376465,46
2.8527889251708984,62
2.878355026245117,69
2.9039769172668457,94
2.9296770095825195,152
2.9556140899658203,-26
2.98122501373291,89
3.006821870803833,-4
3.032459020614624,180
3.0580880641937256,82
3.0837719440460205,130
3.109449863433838,190
3.1352028846740723,82
3.161468029022217,60
3.1870720386505127,85
3.212702989578247,2
3.2383229732513428,82
3.2641069889068604,44
3.289715051651001,-15
3.315290927886963,-15
3.3409080505371094,181
3.366576910018921,94
3.3921759128570557,180
3.4178080558776855,76
3.443434000015259,81
3.4691569805145264,94
3.4948039054870605,96
3.5203568935394287,27
3.545964002609253,190
3.573896884918213,16
3.5995590686798096,72
3.6254220008850098,51
3.6510210037231445,63
3.6767210960388184,18
3.7022409439086914,46
3.728149890899658,-14
3.753854990005493,98
3.779744863510132,150
3.8053510189056396,216
3.831070899963379,101
3.856719970703125,202
3.882282018661499,102
3.907944917678833,79
3.9336578845977783,208
3.959639072418213,81
3.985218048095703,94
4.010885000228882,99
4.0364649295806885,-4
4.062090873718262,-23
4.0876970291137695,-4
4.113362073898315,215
4.139172077178955,-13
4.1648359298706055,100
4.190402984619141,7
4.215925931930542,82
4.2415759563446045,100
4.267246961593628,21
4.292962074279785,144
4.3186869621276855,68
4.344341993331909,-44
4.369942903518677,87
4.395592927932739,153
4.4212119579315186,184
4.446807861328125,-6
4.472436904907227,97
4.498099088668823,42
4.5238330364227295,-18
4.549506902694702,-5
4.57518196105957,62
4.600713014602661,98
4.626368999481201,-20
4.651969909667969,68
4.677624940872192,86
4.703216075897217,-41
4.729144096374512,181
4.755280017852783,77
4.781364917755127,-20
4.807133913040161,-17
4.832741975784302,146
4.858386993408203,84
4.883990049362183,112
4.909558057785034,95
4.9352030754089355,160
4.961018085479736,79
4.986756086349487,-14
5.012337923049927,214
5.0378968715667725,-7
5.065845966339111,48
5.09161901473999,138
5.117217063903809,52
5.14280891418457,-3
5.169210910797119,39
5.1948370933532715,174
5.220645904541016,160
5.246258974075317,86
5.272058010101318,84
5.29770302772522,48
5.3233020305633545,190
5.348881959915161,57
5.374489068984985,-7
5.400156021118164,-24
5.425863027572632,-9
5.451560974121094,1
5.477245092391968,92
5.502871990203857,26
5.528459072113037,-5
5.554079055786133,-3
5.5797529220581055,125
5.605407953262329,210
5.631042003631592,63
5.656764984130859,71
5.6823570728302,-19
5.707918882369995,-15
5.734021902084351,66
5.780679941177368,188
5.829118013381958,63
5.854698896408081,71
5.880296945571899,-30
5.9058449268341064,33
5.931462049484253,81
5.957356929779053,168
5.982953071594238,118
6.008569002151489,-19
6.034192085266113,152
6.059830904006958,110
6.085511922836304,54
6.111108064651489,-24
6.1367809772491455,179
6.162509918212891,131
6.188138008117676,-42
6.213803052902222,138
6.239358901977539,18
6.264940023422241,188
6.290571928024292,141
6.316183090209961,133
6.341854095458984,80
6.367642879486084,44
6.393264055252075,-39
6.41884708404541,39
6.4444899559021,57
6.470072984695435,67
6.495675086975098,25
6.521301031112671,131
6.546957969665527,12
6.574981927871704,-11
6.600606918334961,5
6.6262640953063965,129
6.651834011077881,-41
6.67756986618042,72
6.703197002410889,59
6.729285001754761,4
6.7553229331970215,-11
6.781238079071045,174
6.807049036026001,3
6.832602024078369,62
6.858120918273926,-10
6.883714914321899,-24
6.909226894378662,30
6.934803009033203,68
6.960641860961914,-36
6.986350059509277,78
7.012081861495972,-16
7.037668943405151,-4
7.063302040100098,149
7.088836908340454,-47
7.114389896392822,22
7.139991044998169,85
7.16553807258606,-18
7.1920270919799805,-23
7.217724084854126,47
7.243350028991699,71
7.268954038619995,146
7.2945170402526855,-14
7.3201658725738525,100
7.345790863037109,80
7.371531009674072,-35
7.39710807800293,32
7.4227190017700195,-5
7.448251008987427,37
7.473780870437622,0
7.4993650913238525,-6
7.524945974349976,6
7.550566911697388,44
7.576288938522339,86
7.60202693939209,74
7.6276350021362305,0
7.653279066085815,143
7.678910970687866,204
7.704516887664795,82
7.730401039123535,-10
7.7560930252075195,71
7.7819740772247314,83
7.807674884796143,-9
7.833272933959961,-3
7.858921051025391,94
7.884873867034912,90
7.910615921020508,200
7.936172008514404,98
7.961901903152466,63
7.987506866455078,160
8.013072967529297,8
8.03867506980896,84
8.066859006881714,4
8.092462062835693,79
8.11830186843872,91
8.143876075744629,81
8.169533014297485,66
8.195214986801147,204
8.220818042755127,88
8.246530055999756,-4
8.272069931030273,32
8.297679901123047,-7
8.323230981826782,98
8.348851919174194,64
8.37443494796753,35
8.399992942810059,80
8.425570964813232,0
8.451200008392334,-15
8.477038860321045,87
8.50264596939087,21
8.52826189994812,40
8.553838968276978,42
8.57938289642334,22
8.604981899261475,60
8.630820989608765,167
8.656413078308105,-38
8.682193040847778,0
8.707797050476074,186
8.733681917190552,91
8.75975489616394,-5
8.786098003387451,88
8.81168007850647,-7
8.837281942367554,80
8.862948894500732,197
8.888598918914795,82
8.914280891418457,12
8.940196990966797,63
8.965692043304443,54
8.991262912750244,-7
9.016877889633179,32
9.04239797592163,33
9.068108081817627,-44
9.093759059906006,8
9.119375944137573,14
9.145068883895874,84
9.170651912689209,81
9.196801900863647,-24
9.222663879394531,94
9.248281955718994,220
9.274013042449951,29
9.29963493347168,-38
9.325181007385254,87
9.350717067718506,-12
9.376306056976318,148
9.401944875717163,17
9.427542924880981,5
9.453192949295044,9
9.478925943374634,22
9.504494905471802,-26
9.530119895935059,-32
9.557967901229858,50
9.58362603187561,65
9.609258890151978,188
9.634900093078613,30
9.66065502166748,141
9.686322927474976,196
9.71185302734375,20
9.737653017044067,-27
9.763288974761963,21
9.789113998413086,71
9.814779996871948,12
9.84041690826416,0
9.866014003753662,86
