X,CH1,
Second,Volt,
-2.58000e-05,0.00e+00,
-2.57600e-05,7.99e-02,
-2.57200e-05,0.00e+00,
-2.56800e-05,0.00e+00,
-2.56400e-05,0.00e+00,
-2.56000e-05,7.99e-02,
-2.55600e-05,7.99e-02,
-2.55200e-05,0.00e+00,
-2.54800e-05,7.99e-02,
-2.54400e-05,0.00e+00,
-2.54000e-05,7.99e-02,
-2.53600e-05,0.00e+00,
-2.53200e-05,7.99e-02,
-2.52800e-05,0.00e+00,
-2.52400e-05,7.99e-02,
-2.52000e-05,0.00e+00,
-2.51600e-05,0.00e+00,
-2.51200e-05,0.00e+00,
-2.50800e-05,7.99e-02,
-2.50400e-05,0.00e+00,
-2.50000e-05,0.00e+00,
-2.49600e-05,0.00e+00,
-2.49200e-05,0.00e+00,
-2.48800e-05,0.00e+00,
-2.48400e-05,0.00e+00,
-2.48000e-05,0.00e+00,
-2.47600e-05,0.00e+00,
-2.47200e-05,0.00e+00,
-2.46800e-05,0.00e+00,
-2.46400e-05,7.99e-02,
-2.46000e-05,7.99e-02,
-2.45600e-05,7.99e-02,
-2.45200e-05,0.00e+00,
-2.44800e-05,0.00e+00,
-2.44400e-05,0.00e+00,
-2.44000e-05,7.99e-02,
-2.43600e-05,0.00e+00,
-2.43200e-05,7.99e-02,
-2.42800e-05,0.00e+00,
-2.42400e-05,0.00e+00,
-2.42000e-05,0.00e+00,
-2.41600e-05,0.00e+00,
-2.41200e-05,0.00e+00,
-2.40800e-05,0.00e+00,
-2.40400e-05,0.00e+00,
-2.40000e-05,0.00e+00,
-2.39600e-05,7.99e-02,
-2.39200e-05,7.99e-02,
-2.38800e-05,7.99e-02,
-2.38400e-05,0.00e+00,
-2.38000e-05,0.00e+00,
-2.37600e-05,0.00e+00,
-2.37200e-05,0.00e+00,
-2.36800e-05,0.00e+00,
-2.36400e-05,7.99e-02,
-2.36000e-05,-7.99e-02,
-2.35600e-05,7.99e-02,
-2.35200e-05,0.00e+00,
-2.34800e-05,7.99e-02,
-2.34400e-05,7.99e-02,
-2.34000e-05,0.00e+00,
-2.33600e-05,0.00e+00,
-2.33200e-05,0.00e+00,
-2.32800e-05,0.00e+00,
-2.32400e-05,0.00e+00,
-2.32000e-05,7.99e-02,
-2.31600e-05,0.00e+00,
-2.31200e-05,0.00e+00,
-2.30800e-05,0.00e+00,
-2.30400e-05,7.99e-02,
