time,CH1
0.0,107
0.05367302894592285,73
0.07950186729431152,11
0.10513496398925781,17
0.13085389137268066,64
0.15647196769714355,24
0.18211603164672852,95
0.20788788795471191,52
0.23372888565063477,71
0.2596719264984131,59
0.2853209972381592,38
0.3109579086303711,16
0.3367459774017334,78
0.3628830909729004,16
0.388592004776001,34
0.4144620895385742,15
0.44013404846191406,117
0.46585607528686523,10
0.49165987968444824,109
0.5173048973083496,28
0.5429580211639404,39
0.5686230659484863,48
0.5942549705505371,53
0.6200048923492432,18
0.6458210945129395,37
0.6714820861816406,14
0.6971580982208252,118
0.7228479385375977,114
0.748445987701416,115
0.7741069793701172,96
0.8005180358886719,44
0.8261830806732178,118
0.8519818782806396,48
0.8777759075164795,40
0.903627872467041,34
0.9292919635772705,120
0.9550650119781494,14
0.9807460308074951,107
1.0063810348510742,18
1.0321018695831299,110
1.0579290390014648,65
1.0835108757019043,118
1.1093699932098389,106
1.135037899017334,103
1.1606528759002686,50
1.1863980293273926,9
1.2122259140014648,79
1.2379019260406494,58
1.266118049621582,6
1.2918779850006104,58
1.3178579807281494,57
1.3436179161071777,38
1.3694899082183838,95
1.3955609798431396,67
1.421739101409912,45
1.4473600387573242,118
1.47304105758667,59
1.4990079402923584,58
1.524852991104126,38
1.550602912902832,98
1.576240062713623,25
1.60188889503479,68
1.6276330947875977,12
1.6533119678497314,101
1.679152011871338,71
1.7048609256744385,58
1.730668067932129,72
1.7562689781188965,96
1.7819859981536865,38
1.8078529834747314,50
1.8337280750274658,82
1.8595030307769775,58
1.8851470947265625,20
1.9110910892486572,53
1.9368910789489746,20
1.9624900817871094,51
1.9881620407104492,99
2.013871908187866,25
2.0395700931549072,43
2.0652360916137695,57
2.09089994430542,45
2.116687059402466,32
2.1423559188842773,25
2.1680428981781006,16
2.193734884262085,119
2.2197279930114746,46
2.245512008666992,72
2.271074056625366,92
2.2967069149017334,55
2.3225009441375732,20
2.3482508659362793,114
2.374356985092163,71
2.400455951690674,47
2.4261369705200195,65
2.45204496383667,33
2.477869987487793,18
2.503582000732422,43
2.5291860103607178,40
2.5548501014709473,52
2.580540895462036,70
2.6062469482421875,68
2.632091999053955,116
2.657744884490967,57
2.683485984802246,3
2.7091660499572754,21
2.734879970550537,60
2.7631189823150635,80
2.7888340950012207,30
2.8150880336761475,84
2.8410770893096924,78
2.8667759895324707,27
2.8924238681793213,11
2.9180710315704346,18
2.9437499046325684,20
2.9693970680236816,58
2.99514102935791,82
3.0209579467773438,85
3.0465810298919678,26
3.072356939315796,11
3.0979959964752197,33
3.123694896697998,66
3.1494140625,69
3.1751749515533447,88
3.2008650302886963,71
3.226533889770508,24
3.2521889209747314,21
3.2778570652008057,71
3.3036160469055176,25
3.3295669555664062,22
3.355341911315918,78
3.381227970123291,29
3.4072458744049072,130
3.4330530166625977,56
3.4586870670318604,68
3.484351873397827,67
3.5099868774414062,46
3.535710096359253,45
3.561479091644287,39
3.58728289604187,53
3.612968921661377,4
3.638638973236084,17
3.6644210815429688,40
3.6903200149536133,91
3.7161340713500977,29
3.741779088973999,104
3.7673919200897217,65
3.7930169105529785,19
3.8187239170074463,13
3.8449649810791016,109
3.870706081390381,55
3.8963780403137207,36
