time,CH1
0.0,1276
0.06731986999511719,1296
0.13454508781433105,1184
0.18041396141052246,1294
0.2061018943786621,1284
0.23162603378295898,1186
0.25754690170288086,1268
0.28338003158569336,1326
0.3099379539489746,1183
0.33539891242980957,1276
0.36126089096069336,1248
0.3872189521789551,1264
0.41266703605651855,1320
0.4384429454803467,1260
0.463839054107666,1254
0.4895329475402832,1334
0.5149879455566406,1264
0.5408279895782471,1344
0.5662860870361328,1304
0.5922069549560547,1262
0.6177189350128174,1296
0.6431870460510254,1308
0.6686069965362549,1232
0.6940510272979736,1320
0.7195699214935303,1274
0.7819869518280029,1266
0.8156750202178955,1282
0.8411080837249756,1212
0.8665530681610107,1184
0.8919639587402344,1306
0.9174149036407471,1308
0.9429800510406494,1262
0.9684829711914062,1312
0.9941349029541016,1242
1.020047903060913,1314
1.045525074005127,1274
1.0710999965667725,1216
1.0965490341186523,1298
1.124453067779541,1268
1.149996042251587,1328
1.1754889488220215,1186
1.2009329795837402,1312
1.2268919944763184,1264
1.252790927886963,1264
1.2785279750823975,1268
1.304305076599121,1210
1.3297889232635498,1316
1.35532808303833,1266
1.3816468715667725,1216
1.4074249267578125,1312
1.4331510066986084,1312
1.458587884902954,1210
1.4841248989105225,1264
1.5101230144500732,1264
1.5356130599975586,1296
1.5610690116882324,1312
1.5865490436553955,1200
1.6120429039001465,1216
1.6378328800201416,1332
1.6633739471435547,1296
1.6892499923706055,1188
1.714782953262329,1318
1.7407760620117188,1324
1.766489028930664,1262
1.7918610572814941,1316
1.8173270225524902,1264
1.8427650928497314,1304
1.8682398796081543,1328
1.8937039375305176,1302
1.9191389083862305,1264
1.9449639320373535,1262
1.9705359935760498,1316
1.9965980052947998,1264
2.0220439434051514,1262
2.0475070476531982,1192
2.073302984237671,1264
2.0987930297851562,1320
2.1247379779815674,1266
2.1502609252929688,1320
2.176187038421631,1316
2.201673984527588,1264
2.2274789810180664,1334
2.2531909942626953,1316
2.279007911682129,1264
2.3045308589935303,1208
2.330502986907959,1306
2.3565399646759033,1316
2.3819990158081055,1262
2.4073970317840576,1212
2.4336118698120117,1262
2.4595189094543457,1328
2.4853029251098633,1256
2.5113940238952637,1240
2.53684401512146,1270
2.5622940063476562,1342
2.5882880687713623,1312
2.6163909435272217,1316
2.642204999923706,1232
2.6676480770111084,1192
2.693089008331299,1204
2.7185909748077393,1288
2.744570016860962,1326
2.7700588703155518,1234
2.795814037322998,1336
2.8213119506835938,1312
2.8471100330352783,1264
2.8726160526275635,1208
2.8981339931488037,1264
2.9235739707946777,1206
2.9493579864501953,1328
2.9750280380249023,1252
3.001049041748047,1304
3.02679705619812,1224
3.0523219108581543,1304
3.077863931655884,1312
3.1034460067749023,1266
3.1294479370117188,1268
3.155266046524048,1280
3.1807758808135986,1320
3.206552028656006,1312
3.2320590019226074,1312
3.257746934890747,1186
3.2831459045410156,1336
3.308681011199951,1322
3.334174871444702,1276
3.360013008117676,1312
3.385406970977783,1200
3.4112088680267334,1312
3.4365999698638916,1268
3.4620280265808105,1296
3.487534999847412,1340
3.5142009258270264,1186
3.53964900970459,1212
3.565432071685791,1190
3.591101884841919,1298
3.616586923599243,1324
3.6420018672943115,1196
3.6675140857696533,1224
3.692962884902954,1306
3.718410015106201,1344
3.7439160346984863,1264
3.7699270248413086,1232
3.7956559658050537,1320
3.8214080333709717,1264
3.847130060195923,1264
3.8727989196777344,1298
3.8983030319213867,1216
3.92419695854187,1320
3.9499549865722656,1316
3.9757750034332275,1240
4.001452922821045,1248
4.027148008346558,1304
4.0526158809661865,1214
4.0782129764556885,1266
4.106064081192017,1264
4.131963014602661,1304
4.157366037368774,1336
4.182748079299927,1272
4.208119869232178,1198
4.233565092086792,1208
4.259273052215576,1192
4.284724950790405,1296
4.310205936431885,1264
4.335651874542236,1242
4.361037969589233,1304
4.386626958847046,1292
4.412514925003052,1320
4.437958002090454,1302
4.463749885559082,1266
4.489161968231201,1200
4.514862060546875,1268
4.540329933166504,1264
4.5660459995269775,1336
4.592351913452148,1312
4.617802858352661,1328
4.64385199546814,1264
4.6693198680877686,1208
4.695323944091797,1300
4.721276044845581,1320
4.746737003326416,1344
4.7721168994903564,1266
4.797560930252075,1322
4.823013067245483,1260
4.84840202331543,1210
4.87382698059082,1266
4.899597883224487,1232
4.925010919570923,1300
4.950510025024414,1324
4.975815057754517,1266
5.0019450187683105,1320
5.027416944503784,1264
5.052893877029419,1264
5.078486919403076,1304
5.103957891464233,1240
5.129832983016968,1312
5.155580043792725,1200
5.181348085403442,1266
5.206788063049316,1250
5.232188940048218,1312
5.258507966995239,1292
5.284059047698975,1304
5.309761047363281,1328
5.335226058959961,1312
5.360682964324951,1190
5.386415004730225,1276
5.412287950515747,1304
5.437884092330933,1306
5.463365077972412,1338
5.488823890686035,1290
5.514570951461792,1206
5.5400309562683105,1264
5.565456867218018,1338
5.591003894805908,1264
5.6187989711761475,1316
5.645102024078369,1296
5.670805931091309,1338
5.69648289680481,1298
5.730478048324585,1256
5.790961027145386,1304
5.8176429271698,1304
5.843433856964111,1270
5.8690009117126465,1260
5.895050048828125,1320
5.920851945877075,1264
5.946647882461548,1280
5.972166061401367,1262
5.997956037521362,1286
6.023513078689575,1268
6.049397945404053,1304
6.074910879135132,1334
6.100382089614868,1280
6.125994920730591,1216
6.151727914810181,1292
6.177177906036377,1184
6.203136920928955,1304
6.228631973266602,1342
6.254778861999512,1288
6.28026008605957,1320
6.305716037750244,1200
6.331240892410278,1312
6.357094049453735,1268
6.382636070251465,1256
6.408154010772705,1336
6.4336159229278564,1344
6.45954704284668,1304
6.485115051269531,1312
6.51086688041687,1316
6.536681890487671,1206
6.562238931655884,1210
6.5882039070129395,1276
6.613895893096924,1200
6.639762878417969,1288
6.665250062942505,1294
6.690712928771973,1332
6.717455863952637,1320
6.743666887283325,1306
6.769197940826416,1264
6.795296907424927,1304
6.820824861526489,1254
6.846621036529541,1320
6.872119903564453,1312
6.897508859634399,1266
6.922980070114136,1252
6.94844388961792,1304
6.974336862564087,1322
7.000139951705933,1320
7.025781869888306,1312
7.0512988567352295,1298
7.07679295539856,1284
7.102323055267334,1266
7.130681037902832,1264
7.156200885772705,1304
7.181739091873169,1296
7.2076709270477295,1268
7.233216047286987,1310
7.258771896362305,1248
7.284542083740234,1186
7.310091018676758,1302
7.335612058639526,1208
7.361082077026367,1218
7.386702060699463,1308
7.41226601600647,1314
7.438229084014893,1264
7.463754892349243,1272
7.4895219802856445,1264
7.514927864074707,1304
7.540358066558838,1312
7.565902948379517,1306
7.5916428565979,1200
7.617157936096191,1294
7.643142938613892,1256
7.66869592666626,1216
7.694283962249756,1264
7.719825029373169,1187
7.745307922363281,1270
7.770848989486694,1192
7.7976109981536865,1304
7.823389053344727,1266
7.848914861679077,1322
7.874598026275635,1218
7.900063991546631,1210
7.925591945648193,1300
7.951567888259888,1302
7.977094888687134,1326
8.003167867660522,1316
8.028636932373047,1214
8.054451942443848,1308
8.079984903335571,1278
8.1059410572052,1232
8.131619930267334,1186
8.15744400024414,1224
8.182915925979614,1266
8.208402872085571,1252
8.233983039855957,1212
8.259588956832886,1328
8.285621881484985,1212
8.311058044433594,1196
8.336477041244507,1234
8.362238883972168,1320
8.387994050979614,1264
8.413800954818726,1266
8.439375877380371,1338
8.465328931808472,1338
8.4909029006958,1278
8.516345977783203,1240
8.542224884033203,1202
8.567986965179443,1316
8.593548059463501,1260
8.621577024459839,1210
8.647005081176758,1264
8.672874927520752,1344
8.698423862457275,1250
8.724216938018799,1264
8.749722003936768,1248
8.775278091430664,1264
8.800801992416382,1236
8.826709032058716,1216
8.852159976959229,1288
8.878721952438354,1268
8.904751062393188,1270
8.930856943130493,1268
8.956717014312744,1262
8.982465028762817,1184
9.008142948150635,1312
9.033921957015991,1266
9.059375047683716,1318
9.085109949111938,1344
9.110975980758667,1216
9.136718988418579,1266
9.162255048751831,1324
9.188268899917603,1336
9.21370792388916,1314
9.239508867263794,1308
9.26524305343628,1318
9.290734052658081,1316
9.316277027130127,1316
9.341793060302734,1208
9.367325067520142,1216
9.392967939376831,1242
9.418447971343994,1248
